^Full Path^|^Length^|^Creation Time Utc^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\Resources\1033\odsole70.rll^|^27224^|^2/11/2012 1:01:48 PM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\Resources\1033\sqlevn70.rll^|^2607104^|^10/20/2012 4:27:18 AM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\Resources\1033\xeclrhostpkg.rll^|^18432^|^10/20/2012 4:27:16 AM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\Resources\1033\xepackage0.rll^|^38392^|^10/20/2012 4:27:16 AM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\Resources\1033\xesospkg.rll^|^27136^|^10/20/2012 4:27:16 AM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\Resources\1033\xesqlminpkg.rll^|^179712^|^10/20/2012 4:27:16 AM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\Resources\1033\xesqlpkg.rll^|^139264^|^10/20/2012 4:27:16 AM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\Resources\1033\xplog70.rll^|^20568^|^2/11/2012 1:01:20 PM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\Resources\1033\XPStar.rll^|^162816^|^10/20/2012 4:27:12 AM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\Resources\en-US\SqlUserInstance.rll.mui^|^27224^|^2/11/2012 12:59:36 PM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\Resources\SqlUserInstance.rll^|^18008^|^2/11/2012 1:06:10 PM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\Templates\master.mdf^|^4194304^|^2/11/2012 2:15:26 AM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\Templates\mastlog.ldf^|^524288^|^2/11/2012 2:15:26 AM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\Templates\model.mdf^|^2162688^|^2/11/2012 2:15:26 AM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\Templates\modellog.ldf^|^524288^|^2/11/2012 2:15:26 AM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\Templates\msdbdata.mdf^|^13107200^|^2/11/2012 2:15:26 AM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\Templates\msdblog.ldf^|^524288^|^2/11/2012 2:15:26 AM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\BatchParser.dll^|^177240^|^2/11/2012 1:46:34 PM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\etwcls.mof^|^1223098^|^2/10/2012 11:52:02 PM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\etwcnf.xml^|^1713^|^2/10/2012 10:07:24 PM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\localdbxeventconfig.xml^|^1474^|^2/10/2012 10:11:20 PM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\mssqlsystemresource.ldf^|^524288^|^10/19/2012 7:30:02 PM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\mssqlsystemresource.mdf^|^41943040^|^10/19/2012 7:30:02 PM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\msxmlsql.dll^|^1275992^|^2/11/2012 1:46:16 PM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\odsole70.dll^|^86616^|^2/11/2012 1:46:16 PM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\opends60.dll^|^31832^|^2/11/2012 1:46:18 PM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\sqlaccess.dll^|^449520^|^10/20/2012 4:21:18 AM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\sqlboot.dll^|^169456^|^10/20/2012 4:27:04 AM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\sqlDK.dll^|^2080240^|^10/20/2012 4:26:58 AM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\sqllang.dll^|^33982976^|^10/20/2012 4:26:58 AM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\sqlmin.dll^|^32253440^|^10/20/2012 4:26:58 AM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\sqlos.dll^|^26096^|^10/20/2012 4:16:02 AM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\sqlscm.dll^|^59480^|^2/11/2012 1:43:56 PM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\sqlscriptdowngrade.dll^|^25584^|^10/20/2012 4:26:46 AM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\sqlscriptupgrade.dll^|^5492720^|^10/20/2012 4:26:48 AM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\SqlServerSpatial110.dll^|^768088^|^2/11/2012 1:06:22 PM^
^C:\Program Files\Microsoft SQL Server\110\LocalDB\Binn\sqlservr.exe^|^191976^|^10/20/2012 4:19:30 AM^
